#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-24T19:29:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d8a6d402b29	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/ApJ/733/115&tab:{J/ApJ/733/115/table2}&key:source=J/ApJ/733/115&HTTPPRM:&&-ref=VIZ5d8a6d402b29&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/ApJ/733/115/table2&-out=Prot&-out=V0mag&-meta=1u&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/ApJ/733/115/table2
#-out.src=J/ApJ/733/115/table2
#-out=Prot
#-out=V0mag
#-source=J/ApJ/733/115
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#
#
#RESOURCE=yCat_17330115
#Name: J/ApJ/733/115
#Title: Rotation periods and membership in M34 (Meibom+, 2011)
#Table	J_ApJ_733_115_table2:
#Name: J/ApJ/733/115/table2
#Title: Data for the 120 stars with measured rotation periods in the field of M34
#Column	Prot	(F5.2)	Rotation period	[ucd=time.period]
#Column	V0mag	(F5.2)	Extinction-corrected V band magnitude	[ucd=phot.mag;em.opt.V]
Prot	Vmag
#Name: J/ApJ/733/115/table2
#Title:
#Prot	V0mag
#d	mag
#-----	-----
 0.11	12.45
 0.13	19.43
 0.16	18.42
 0.19	18.94
 0.21	16.08
 0.36	15.83
 0.49	17.67
 0.51	16.92
 0.51	17.42
 0.59	16.79
 0.72	14.74
 0.79	15.60
 0.79	17.93
 0.81	13.38
 0.88	16.08
 0.88	15.53
 0.90	14.33
 0.94	14.51
 0.96	17.66
 1.07	15.97
 1.09	15.01
 1.12	15.63
 1.13	15.29
 1.19	17.32
 1.19	16.45
 1.50	15.73
 1.55	14.78
 1.63	17.52
 1.97	12.62
 2.29	11.99
 2.36	12.15
 2.39	15.60
 2.71	12.90
 2.73	12.68
 2.80	14.44
 2.80	12.96
 3.10	13.04
 3.18	14.73
 3.39	14.70
 3.54	12.90
 3.67	17.59
 3.67	12.78
 3.78	13.29
 3.86	16.13
 3.99	13.21
 4.19	12.98
 4.29	13.76
 4.37	13.36
 4.65	13.89
 4.83	15.82
 4.88	14.65
 4.93	12.65
 5.35	16.57
 5.41	13.86
 5.41	16.72
 5.41	12.89
 5.47	13.74
 5.47	16.02
 5.59	17.91
 5.99	17.74
 5.99	13.87
 6.06	12.64
 6.06	11.97
 6.14	13.49
 6.37	17.77
 6.54	14.19
 6.71	14.19
 6.90	14.27
 7.00	14.37
 7.20	16.42
 7.30	17.76
 7.41	14.70
 7.41	14.57
 7.52	16.60
 7.52	13.92
 7.52	16.49
 7.75	14.74
 7.75	14.73
 8.00	14.85
 8.00	15.41
 8.00	14.72
 8.00	14.48
 8.13	17.58
 8.27	15.52
 8.27	14.98
 8.27	14.34
 8.40	14.73
 8.55	17.26
 8.55	15.61
 8.70	14.80
 8.70	15.02
 8.85	14.71
 8.85	14.89
 8.85	15.74
 9.01	15.43
 9.01	13.80
 9.35	15.71
 9.35	15.90
 9.52	15.84
 9.71	15.45
 9.71	17.18
 9.90	16.32
 9.90	15.45
10.31	16.12
10.31	15.69
10.52	15.73
10.52	16.70
10.52	15.49
10.75	17.44
10.75	16.12
10.75	15.59
10.99	16.31
11.23	16.23
11.23	17.91
11.49	16.39
12.98	18.50
14.08	14.37
15.37	16.79
18.85	14.62
23.22	12.36

